group,full_path,product_or_variable,used_by
hrmip_present,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-present/pr/pr.Amon.highresSST-present.IPSL-CM6A-ATM-HR.nc,HRMIP present pr (HR),HRMIP historical
hrmip_present,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-present/pr/pr.Amon.highresSST-present.MPI-ESM1-2-HR.nc,HRMIP present pr (HR),"HRMIP historical, HRMIP future"
hrmip_present,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-present/pr/pr.Amon.highresSST-present.MPI-ESM1-2-XR.nc,HRMIP present pr (HR),"HRMIP historical, HRMIP future"
hrmip_present,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-present/pr/pr.Amon.highresSST-present.MRI-AGCM3-2-H.nc,HRMIP present pr (HR),HRMIP historical
hrmip_present,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-present/pr/pr.Amon.highresSST-present.MRI-AGCM3-2-S.nc,HRMIP present pr (HR),HRMIP historical
hrmip_present,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-present/pr/pr.Amon.highresSST-present.NICAM16-7S.nc,HRMIP present pr (HR),HRMIP historical
hrmip_present,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-present/pr/pr.Amon.highresSST-present.NICAM16-8S.nc,HRMIP present pr (HR),HRMIP historical
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.CAM-MPAS-LR.nc,HRMIP future pr (LR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.CMCC-CM2-HR4.nc,HRMIP future pr (LR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.EC-Earth3P.nc,HRMIP future pr (LR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.FGOALS-f3-L.nc,HRMIP future pr (LR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.HadGEM3-GC31-LM.nc,HRMIP future pr (LR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.HiRAM-SIT-LR.nc,HRMIP future pr (LR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.MPI-ESM1-2-HR.nc,HRMIP future pr (LR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.CAM-MPAS-HR.nc,HRMIP future pr (HR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.CMCC-CM2-VHR4.nc,HRMIP future pr (HR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.EC-Earth3P-HR.nc,HRMIP future pr (HR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.FGOALS-f3-H.nc,HRMIP future pr (HR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.HadGEM3-GC31-HM.nc,HRMIP future pr (HR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.HiRAM-SIT-HR.nc,HRMIP future pr (HR),HRMIP future
hrmip_future,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/hrmip/highresSST-future/pr/pr.Amon.highresSST-future.MPI-ESM1-2-XR.nc,HRMIP future pr (HR),HRMIP future
